"Site_ID","Phase_ID","Domestic_Cattle","Wild_Cattle","Undetermined_Bovids","Domestic_Sheep_Goats","Wild_Barbary_Sheep","Domestic_Donkeys","Wild_Donkeys_Zebras","Domestic_Horses","Undetermined_Equids","Domestic_Pigs","Ostrich_Eggshells","Ostrich_Bones","Other_Wild_Terrestrial_Macrofauna","Other_Wild_Terrestrial_Microfauna_Avifauna","Terrestrial_Freshwater_Molluscs","Marine_Molluscs","Ichthyofauna_Turtles","Domestic_Cereals","Domestic_Pulses","Fruit_Crops","Wild_Plants","Pottery","Lithics_Backed_Tools_Geometrics","Lithics_Notches_Denticulates","Lithics_Arrowheads","Lithics_Bifacial_Tools","Lithics_Polished_Axes_Adzes"
"DZ021","DZ021-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ009","DZ009-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","no","no","no"
"DZ010","DZ010-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","no","no","no"
"DZ005","DZ005-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","yes","yes","no"
"DZ005","DZ005-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ048","DZ048-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","<","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","yes","yes","n/a"
"DZ048","DZ048-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","<","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","yes","yes","n/a"
"DZ022","DZ022-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","<","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ023","DZ023-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ008","DZ008-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","yes","yes","n/a"
"DZ024","DZ024-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ024","DZ024-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ044","DZ044-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ018","DZ018-1","yes","no","n/a","yes","?","no","yes","n/a","n/a","no","yes","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","yes","yes","yes"
"DZ012","DZ012-1","no","no","no","no","no","no","no","n/a","no","no","yes","no","no","yes","yes","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","yes","yes","yes","yes"
"DZ047","DZ047-5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ047","DZ047-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ047","DZ047-4","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ047","DZ047-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ047","DZ047-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ047","DZ047-6","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ045","DZ045-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","no","no","no"
"DZ045","DZ045-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ017","DZ017-6","no","yes","n/a","no","yes","n/a","n/a","n/a","yes","no","yes","n/a","yes","yes","yes","yes","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","n/a","n/a","n/a"
"DZ017","DZ017-7","no","yes","n/a","no","yes","n/a","n/a","n/a","yes","no","yes","n/a","yes","yes","yes","yes","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","n/a","n/a","n/a"
"DZ017","DZ017-5","no","yes","n/a","no","yes","n/a","n/a","n/a","yes","no","yes","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ017","DZ017-4","no","yes","n/a","no","yes","no","n/a","n/a","yes","no","yes","n/a","yes","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ017","DZ017-8","no","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","yes","n/a","yes","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","n/a","n/a","n/a"
"DZ017","DZ017-9","no","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","yes","n/a","yes","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","n/a","n/a","n/a"
"DZ017","DZ017-2","no","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ017","DZ017-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ017","DZ017-1","no","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ032","DZ032-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","yes","yes","no"
"DZ037","DZ037-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","<","yes","no","no","no"
"DZ020","DZ020-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a"
"DZ004","DZ004-7","no","yes","n/a","no","yes","no","yes","no","n/a","no","n/a","n/a","yes","n/a","yes","no","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ004","DZ004-2","no","yes","n/a","no","yes","no","yes","no","n/a","no","n/a","n/a","yes","n/a","yes","no","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ004","DZ004-6","no","yes","n/a","no","yes","no","yes","no","n/a","no","n/a","n/a","yes","n/a","yes","no","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ004","DZ004-5","no","yes","n/a","no","yes","no","yes","no","n/a","no","n/a","n/a","yes","n/a","yes","no","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ004","DZ004-1","no","yes","n/a","no","yes","no","yes","no","n/a","no","n/a","n/a","yes","n/a","yes","no","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ004","DZ004-3","no","yes","n/a","no","yes","no","yes","no","n/a","no","n/a","n/a","yes","n/a","yes","no","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ004","DZ004-4","no","yes","n/a","no","yes","no","yes","no","n/a","no","n/a","n/a","yes","n/a","yes","no","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ004","DZ004-8","no","n/a","n/a","no","no","no","no","no","n/a","no","n/a","n/a","yes","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ036","DZ036-2","no","no","yes","no","yes","no","no","no","no","no","yes","no","yes","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ036","DZ036-1","no","no","yes","no","yes","no","no","no","no","no","yes","no","yes","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ002","DZ002-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ039","DZ039-1","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","yes","yes","no","no","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ040","DZ040-1","no","yes","n/a","no","yes","no","no","no","no","no","n/a","n/a","yes","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","n/a","n/a","n/a"
"DZ040","DZ040-4","no","yes","n/a","no","yes","no","no","no","no","no","n/a","n/a","yes","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","n/a","n/a","n/a"
"DZ040","DZ040-3","no","yes","n/a","no","yes","no","no","no","no","no","n/a","n/a","yes","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","n/a","n/a","n/a"
"DZ040","DZ040-2","no","yes","n/a","no","yes","no","no","no","no","no","n/a","n/a","yes","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","n/a","n/a","n/a"
"DZ003","DZ003-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ034","DZ034-1","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","yes","yes","yes","no","no","no","no","no","yes","no","yes","yes","no","no","no"
"DZ034","DZ034-2","no","no","<","no","yes","no","yes","no","no","no","yes","no","yes","yes","yes","no","no","no","no","no","yes","no","yes","yes","no","no","no"
"DZ034","DZ034-3","no","no","yes","no","yes","no","no","no","<","no","yes","no","yes","yes","yes","<","no","no","no","no","yes","no","yes","yes","no","no","no"
"DZ034","DZ034-4","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","n/a","yes","no","no","no","no","no","yes","no","yes","yes","no","no","no"
"DZ019","DZ019-1","no","yes","n/a","no","yes","no","yes","no","n/a","no","n/a","n/a","yes","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ035","DZ035-2","no","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","yes","yes","no","no","n/a","n/a","n/a","n/a","no","yes","yes","no","no","no"
"DZ035","DZ035-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ035","DZ035-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ046","DZ046-4","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","yes","n/a","n/a","n/a","<","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ046","DZ046-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","yes","n/a","n/a","n/a","<","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ046","DZ046-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","yes","n/a","n/a","n/a","<","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ046","DZ046-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","yes","n/a","n/a","n/a","<","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ014","DZ014-1","yes","yes","n/a","yes","?","no","no","no","n/a","?","yes","no","yes","yes","yes","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes"
"DZ014","DZ014-3","yes","yes","n/a","yes","?","no","no","no","n/a","?","yes","no","yes","yes","yes","no","no","no","no","no","yes","yes","yes","yes","no","no","yes"
"DZ014","DZ014-2","yes","yes","n/a","yes","?","no","no","no","n/a","?","yes","no","yes","yes","yes","no","no","no","no","no","yes","yes","yes","yes","yes","no","yes"
"DZ014","DZ014-4","yes","yes","n/a","yes","?","no","no","no","n/a","?","yes","no","yes","yes","yes","no","no","no","no","no","yes","yes","no","no","no","no","no"
"DZ051","DZ051-4","no","no","n/a","no","yes","no","yes","no","n/a","no","n/a","n/a","yes","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","no","no","no"
"DZ057","DZ057-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ050","DZ050-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","yes","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ050","DZ050-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ029","DZ029-3","?","?","no","yes","yes","no","no","no","no","?","yes","no","yes","yes","yes","yes","no","no","no","no","yes","yes","yes","<","<","no","no"
"DZ029","DZ029-5","?","<","n/a","yes","yes","no","no","no","no","?","yes","no","yes","yes","yes","yes","no","no","no","no","yes","yes","yes","<","<","no","no"
"DZ029","DZ029-1","?","?","no","yes","<","no","no","no","no","?","yes","no","yes","yes","yes","yes","no","no","no","no","yes","yes","yes","<","<","no","no"
"DZ029","DZ029-6","?","<","n/a","yes","yes","no","no","no","no","?","yes","no","yes","yes","yes","yes","no","no","no","no","yes","yes","yes","<","<","no","no"
"DZ029","DZ029-2","?","?","no","yes","yes","no","no","no","no","?","yes","no","yes","yes","yes","yes","no","no","no","no","yes","yes","yes","<","<","no","no"
"DZ029","DZ029-4","yes","yes","n/a","yes","yes","no","no","no","no","?","yes","no","yes","yes","yes","yes","no","no","no","no","yes","yes","yes","<","<","no","no"
"DZ042","DZ042-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","no","no","<"
"DZ042","DZ042-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","no","no","no"
"DZ015","DZ015-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","no","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","yes","n/a","n/a","n/a"
"DZ027","DZ027-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","no","no","no"
"DZ011","DZ011-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","yes","n/a","n/a","n/a"
"DZ001","DZ001-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ001","DZ001-6","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ001","DZ001-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ001","DZ001-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ001","DZ001-4","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ001","DZ001-5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","yes","n/a","n/a","n/a"
"DZ058","DZ058-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ058","DZ058-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ058","DZ058-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ059","DZ059-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ059","DZ059-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ059","DZ059-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ060","DZ060-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ060","DZ060-4","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ060","DZ060-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ060","DZ060-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a"
"DZ028","DZ028-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"DZ028","DZ028-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"DZ028","DZ028-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"DZ013","DZ013-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"DZ056","DZ056-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"DZ056","DZ056-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"DZ054","DZ054-4","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"DZ054","DZ054-3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"DZ054","DZ054-2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"DZ054","DZ054-1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
